ID,Treatment,incubation_time_days,av_%N,av_d15N,ngN_g_day
142,C2H2 + CK,1,0.164799658,1.1835,25.20921804
143,C2H2 + CK,1,0.154719182,1.8335,43.78128375
144,C2H2 + CK,1,0.151059795,1.4965,32.56406996
145,C2H2 + Air,1,0.168838733,1.323,30.53781397
146,C2H2 + Air,1,0.167403796,2.1525,58.05130932
147,C2H2 + Air,1,0.170054499,1.7235,44.37945997
148,Cocktail,1,0.199632285,1.8565,63.3964635
149,Cocktail,1,0.273199052,1.5825,70.22553874
150,Cocktail,1,0.212753732,1.9195,70.5237576
151,Air,1,0.15723112,1.249,28.83463208
152,Air,1,0.157416142,1.0265,21.13268891
153,Air,1,0.197627059,1.8545,62.67237356
157,Control + CK,1,0.284785498,1.157208664,46.45320612
158,Control + CK,1,0.304422865,0.785458557,24.66104526
159,Control + CK,1,0.280686842,0.491554918,4.517774736
163,DFM + CK,1,0.202408294,0.956913612,23.60756624
164,DFM + CK,1,0.318781506,0.8865,32.31647261
165,DFM + CK,1,0.351805729,1.71947336,99.16598421
172,CK + CH4-3,1,0.272905186,2.937,144.6264345
173,CK + CH4-3,1,0.205154398,3.522,133.9773804
174,CK + CH4-3,1,0.196914192,5.307,202.5619941
175,C2H2 + CK,2,0.16586238,1.2725,14.16211086
176,C2H2 + CK,2,0.23309458,1.4615,24.30832985
177,C2H2 + CK,2,0.249219559,1.2245,20.08324905
178,C2H2 + Air,2,0.2,1.9,29.62729083
179,C2H2 + Air,2,0.2,1.35,18.6269878
180,C2H2 + Air,2,0.2,2.3,37.62748337
181,Cocktail,2,0.2,1.85,31.61305605
182,Cocktail,2,0.2,1.9,32.7173833
183,Cocktail,2,0.3,2.25,60.67149412
184,Air,2,0.3,1.9,49.07607495
185,Air,2,0.281250264,2.356,60.17184754
186,Air,2,0.2781201,3.071142797,81.46661401
190,Control + CK,2,0.286517972,0.622976466,6.464158801
191,Control + CK,2,0.357285618,1.053126095,25.03287749
192,Control + CK,2,0.265367754,1.018010033,17.56364713
196,DFM + CK,2,0.249436092,0.4935,2.022056287
197,DFM + CK,2,0.236970425,0.483,1.651411079
198,DFM + CK,2,0.229201242,0.496,1.920106417
205,CK + CH4-3,2,0.230880633,7.083,161.8944178
206,CK + CH4-3,2,0.33687656,5.763,189.4322224
207,CK + CH4-3,2,0.287584159,8.995,259.5084132
208,C2H2 + CK,4,0.248285487,3.5405,38.75608054
209,C2H2 + CK,4,0.215305813,7.315,74.24170082
210,C2H2 + CK,4,0.200822892,5.37,49.71781408
211,C2H2 + Air,4,0.215716968,4.347,42.37118174
212,C2H2 + Air,4,0.167783472,3.1585,22.98542024
213,C2H2 + Air,4,0.207788264,2.816,24.90742183
214,Cocktail,4,0.267741427,10.44415103,148.2097527
215,Cocktail,4,0.235205383,11.76522246,147.3550848
216,Cocktail,4,0.217270368,8.274370477,94.2420493
217,Air,4,0.2267055,11.99288524,144.8795875
218,Air,4,0.31509259,8,131.8995488
219,Air,4,0.230669712,6.278,74.62782756
223,Control + CK,4,0.316790483,0.916511095,8.708124518
224,Control + CK,4,0.338969809,1.039850545,11.62632313
225,Control + CK,4,0.361149134,1.163189995,14.84661969
229,DFM + CK,4,0.251594804,1.062,8.768409683
230,DFM + CK,4,0.240080224,1.093,8.770301666
231,DFM + CK,4,0.255804883,0.601,2.526583967
235,CK + CH4-3,4,0.406639725,9.7585,199.8032786
236,CK + CH4-3,4,0.200860663,3.035,27.64716423
237,CK + CH4-3,4,0.214143283,3.53,35.05203385
