ID,Treatment,incubation_time_days,Replicate,dry_weight_g,Area_mV.s,Concentration_ppm,Corrected_ppm,umolN_g_day,ngN_g_day
142,15N2_C2H2_CK,1,1,0.303486533,438,6.597947201,0.239506197,0.000198194,2.774712828
143,15N2_C2H2_CK,1,2,0.606973066,394,5.99360444,-0.364836565,-0.000308841,-4.323772858
144,15N2_C2H2_CK,1,3,0.910459599,475,7.106144523,0.747703519,0.000491021,6.874298726
145,15N2_C2H2_Air,1,1,0.303486533,434,6.54300695,0.184565946,0.000179439,2.512150757
146,15N2_C2H2_Air,1,2,0.606973066,449,6.749032891,0.390591887,0.000337204,4.720857648
147,15N2_C2H2_Air,1,3,0.910459599,503,7.49072628,1.132285276,0.001312846,18.37984884
148,15N2_CK_CT,1,1,0.303486533,0,0.581989712,0.581989712,0.000596641,8.352979065
149,15N2_CK_CT,1,2,0.606973066,0,0.581989712,0.581989712,0.000637808,8.929308668
150,15N2_CK_CT,1,3,0.910459599,0,0.581989712,0.581989712,0.000631779,8.844903244
154,15N2_C2H2_CK_microCT,1,1,0.303486533,441,6.639152389,-0.301278327,-0.000232481,-3.254734472
155,15N2_C2H2_CK_microCT,1,2,0.606973066,586,7.490682155,0.550251438,0.000363422,5.087912362
156,15N2_C2H2_CK_microCT,1,3,0.910459599,573,7.348853383,0.408422666,0.000269749,3.776489418
160,15N2_C2H2_CK_nobarkCT,1,1,0.303486533,565,7.261574139,0.321143422,9.63E-05,1.347603613
161,15N2_C2H2_CK_nobarkCT,1,2,0.606973066,669,8.396204313,1.455773596,0.000476012,6.664161826
162,15N2_C2H2_CK_nobarkCT,1,3,0.910459599,661,8.308925069,1.368494352,0.000447473,6.264619611
175,15N2_C2H2_CK,2,1,0.303486533,754,9.323546282,2.383115565,0.000763843,10.69379887
176,15N2_C2H2_CK,2,2,0.606973066,431,5.7996468,-1.140783917,-0.000423489,-5.928848693
177,15N2_C2H2_CK,2,3,0.910459599,570,7.316123667,0.37569295,0.000146833,2.055661085
178,15N2_C2H2_Air,2,1,0.303486533,986,11.85464436,4.914213645,0.001431423,20.03992368
179,15N2_C2H2_Air,2,2,0.606973066,801,9.836311841,2.895881124,0.001100229,15.40321148
180,15N2_C2H2_Air,2,3,0.910459599,480,7.174819837,0.23438912,8.48E-05,1.186609049
181,15N2_CK_CT,2,1,0.303486533,0,0.581989712,0.581989712,0.000175572,2.45801326
182,15N2_CK_CT,2,2,0.606973066,0,0.581989712,0.581989712,0.00016616,2.326233485
183,15N2_CK_CT,2,3,0.910459599,0,0.581989712,0.581989712,0.000288753,4.042546454
187,15N2_C2H2_CK_microCT,2,1,0.303486533,437,6.584212138,0.225771134,7.13E-05,0.997732967
188,15N2_C2H2_CK_microCT,2,2,0.606973066,447,6.721562766,0.363121762,0.000161502,2.261026498
189,15N2_C2H2_CK_microCT,2,3,0.910459599,408,6.185895318,-0.172545686,-9.35E-05,-1.308990368
193,15N2_C2H2_CK_nobarkCT,2,1,0.303486533,285,4.496482599,-2.443948118,-0.000366266,-5.127729676
194,15N2_C2H2_CK_nobarkCT,2,2,0.606973066,423,6.39192126,-0.548509457,-8.97E-05,-1.2554685
195,15N2_C2H2_CK_nobarkCT,2,3,0.910459599,426,6.433126448,-0.507304269,-8.29E-05,-1.161155056
208,15N2_C2H2_CK,4,1,0.303486533,1079,15.40212243,8.461691713,0.002033345,28.46682868
209,15N2_C2H2_CK,4,2,0.606973066,2120,29.70032276,22.75989205,0.003798314,53.17640189
210,15N2_C2H2_CK,4,3,0.910459599,1819,25.56606887,18.62563815,0.00455916,63.82823869
211,15N2_C2H2_Air,4,1,0.303486533,2136,29.92008377,22.97965305,0.004477095,62.67932708
212,15N2_C2H2_Air,4,2,0.606973066,1377,19.49517113,12.55474042,0.00283326,39.66563756
213,15N2_C2H2_Air,4,3,0.910459599,1011,14.46813816,7.527707445,0.002220879,31.0923025
214,15N2_CK_CT,4,1,0.303486533,0,0.581989712,0.581989712,8.72E-05,1.221373558
215,15N2_CK_CT,4,2,0.606973066,0,0.581989712,0.581989712,9.16E-05,1.282977739
216,15N2_CK_CT,4,3,0.910459599,0,0.581989712,0.581989712,7.47E-05,1.045435444
220,15N2_C2H2_CK_microCT,4,1,0.303486533,414,6.268305695,-0.090135309,-2.66E-05,-0.372917033
221,15N2_C2H2_CK_microCT,4,2,0.606973066,450,6.762767954,0.40432695,0.000132967,1.861539026
222,15N2_C2H2_CK_microCT,4,3,0.910459599,452,6.79023808,0.431797075,9.36E-05,1.310217633
226,15N2_C2H2_CK_nobarkCT,4,1,0.303486533,431,6.501801762,-0.438628955,-3.59E-05,-0.501982991
227,15N2_C2H2_CK_nobarkCT,4,2,0.606973066,414,6.268305695,-0.672125022,-5.49E-05,-0.769204416
228,15N2_C2H2_CK_nobarkCT,4,3,0.910459599,458,6.872648456,-0.067782261,-5.54E-06,-0.077572494
