ID,Treatment,incubation_time_days,Method,N_Fixation_Rates_ngN_g_day
208,C2H2 + Stem gas,4,ARA,28.46682868
208,C2H2 + Stem gas,4,15N2,38.75608054
209,C2H2 + Stem gas,4,ARA,53.17640189
209,C2H2 + Stem gas,4,15N2,74.24170082
210,C2H2 + Stem gas,4,ARA,63.82823869
210,C2H2 + Stem gas,4,15N2,49.71781408
211,C2H2 + Air,4,ARA,62.67932708
211,C2H2 + Air,4,15N2,42.37118174
212,C2H2 + Air,4,ARA,39.66563756
212,C2H2 + Air,4,15N2,22.98542024
213,C2H2 + Air,4,ARA,31.0923025
213,C2H2 + Air,4,15N2,24.90742183
214,Stem gas,4,ARA,28.46682868
214,Stem gas,4,15N2,148.2097527
215,Stem gas,4,ARA,53.17640189
215,Stem gas,4,15N2,147.3550848
216,Stem gas,4,ARA,63.82823869
216,Stem gas,4,15N2,94.2420493
