ID,treatment,incubation_time,rep,d15N,ngN_g_day_2
1,15N2_CH4_O2,1,1,5.456602831,65.21535016
1,15N2_CH4_O2,1,1,5.119563806,63.31657836
2,15N2_CH4_O2,1,2,2.526805082,21.64243339
2,15N2_CH4_O2,1,2,2.259535114,15.6729903
3,15N2_CH4_O2,1,3,5.93491299,94.76390284
3,15N2_CH4_O2,1,3,5.854964823,93.50612937
4,15N2_CH4_O2,2,1,1.686241015,2.108485205
4,15N2_CH4_O2,2,1,1.582203108,0
5,15N2_CH4_O2,2,2,7.26359361,51.59265338
5,15N2_CH4_O2,2,2,7.1142963,49.52586011
6,15N2_CH4_O2,2,3,9.529402893,83.14437562
6,15N2_CH4_O2,2,3,9.667228672,82.8366128
7,15N2_CH4_O2,3,1,18.9586316,123.9606584
7,15N2_CH4_O2,3,1,19.0825503,124.7055423
8,15N2_CH4_O2,3,2,8.988654256,47.22476309
8,15N2_CH4_O2,3,2,8.761348051,46.21762737
9,15N2_CH4_O2,3,3,11.67176132,64.90299523
9,15N2_CH4_O2,3,3,11.19313151,60.84705623
10,15N2_CH4_O2,5,1,11.701287,46.5755783
10,15N2_CH4_O2,5,1,11.21583525,44.30694374
11,15N2_CH4_O2,5,2,36.02882872,130.8577147
11,15N2_CH4_O2,5,2,35.87605497,129.9042628
12,15N2_CH4_O2,5,3,22.98242197,84.79799009
12,15N2_CH4_O2,5,3,22.73643271,83.95447566
13,15N2_CH4_O2,7,1,40.36246495,99.68333334
13,15N2_CH4_O2,7,1,41.09864869,102.0311081
14,15N2_CH4_O2,7,2,120.6816656,343.8970043
14,15N2_CH4_O2,7,2,121.1982402,345.2964323
15,15N2_CH4_O2,7,3,53.19690494,135.8301399
15,15N2_CH4_O2,7,3,53.44272641,137.8183604
16,15N2,1,1,4.507854401,57.85772051
16,15N2,1,1,4.515835946,57.44320266
17,15N2,1,2,5.324562802,61.13539963
17,15N2,1,2,5.023099466,55.18048263
18,15N2,1,3,4.727694932,56.80390608
18,15N2,1,3,4.627113402,54.99110379
19,15N2,2,1,13.81521756,114.2819909
19,15N2,2,1,13.78391986,114.2175109
20,15N2,2,2,12.44265756,123.4296449
20,15N2,2,2,12.31721299,123.4383725
21,15N2,2,3,7.810571966,55.37917988
21,15N2,2,3,7.782468445,54.67167805
22,15N2,3,1,14.98348378,85.40663119
22,15N2,3,1,15.37366876,87.04370872
23,15N2,3,2,21.64286296,126.8206953
23,15N2,3,2,21.64074264,126.4566853
24,15N2,3,3,15.20733162,83.14855166
24,15N2,3,3,15.32423213,83.41039248
25,15N2,5,1,56.85786825,196.3267186
25,15N2,5,1,57.22462591,195.9773047
26,15N2,5,2,29.6242424,108.9068549
26,15N2,5,2,29.83450387,110.9762804
27,15N2,5,3,7.208339034,28.45636381
27,15N2,5,3,7.038200616,27.25758793
28,15N2,7,1,43.16219232,103.8450963
28,15N2,7,1,43.4898347,105.9259098
29,15N2,7,2,37.64085648,97.13983133
29,15N2,7,2,37.34287899,97.14773463
30,15N2,7,3,5.518880124,17.04467599
30,15N2,7,3,5.758873543,18.2612687
31,Control,3,1,2.618112654,9.799346037
31,Control,3,1,2.666792796,10.07526851
32,Control,3,2,2.504257729,5.605755901
32,Control,3,2,2.443733353,5.248030825
33,Control,3,3,2.382209847,4.903450682
33,Control,3,3,2.213380191,3.878298216
34,Control,7,1,2.805282529,2.965123899
34,Control,7,1,2.954446749,3.321636824
35,Control,7,2,2.126311253,1.396020013
35,Control,7,2,2.20767275,1.598739351
36,Control,7,3,2.593445734,2.542087196
36,Control,7,3,2.323313878,1.864613419
