ID,treatment,incubation_time,replicate,O2_%
1,CH4 + O2,1,1,16.02
2,CH4 + O2,1,2,14.55
3,CH4 + O2,1,3,14.81
4,CH4 + O2,2,1,11.43
5,CH4 + O2,2,2,13.31
6,CH4 + O2,2,3,13.36
7,CH4 + O2,3,1,10.93
8,CH4 + O2,3,2,11.16
9,CH4 + O2,3,3,12.34
10,CH4 + O2,5,1,6.01
11,CH4 + O2,5,2,9.1
12,CH4 + O2,5,3,10.12
13,CH4 + O2,7,1,3.08
14,CH4 + O2,7,2,8.64
15,CH4 + O2,7,3,4.63
16,O2,1,1,11.24
17,O2,1,2,12.01
18,O2,1,3,10.52
19,O2,2,1,9.04
20,O2,2,2,8.14
21,O2,2,3,8.72
22,O2,3,1,6.59
23,O2,3,2,6
24,O2,3,3,6.68
25,O2,5,1,5.12
26,O2,5,2,3.22
27,O2,5,3,0.31
28,O2,7,1,0.49
29,O2,7,2,2.44
30,O2,7,3,0.24
